1146.93, -271.326, 2972.8, 2.0
1008.66, -98.429, 2800.26, 2.0
867.442, 71.9543, 2615.79, 2.0
761.534, 152.407, 2549.46, 2.0
742.307, -16.6826, 2728.42, 2.0
706.041, -224.693, 2818.98, 2.0
676.715, -473.7, 2828.91, 2.0
986.891, 89.1397, 2584.8, 2.0
1118.18, -92.5972, 2501.74, 2.0
1022.43, -308.701, 2467.61, 2.0
1062.31, -295.922, 2968.71, 2.0
1083.95, -582.257, 2734.38, 1.0
1261.92, -960.864, 2756.74, 2.0
1207.54, -239.658, 2906.74, 2.0
1265.89, -575.637, 2727.41, 2.0
1338.84, -868.86, 2784.25, 2.0
903.343, 29.7554, 2664.17, 2.0
