389.976, -722.399, 2959.9, 2.0
64.6005, -707.496, 2908.48, 2.0
-253.993, -689.991, 2843.04, 2.0
-397.088, -670.237, 2838.5, 2.0
-151.033, -773.832, 2776.49, 2.0
26.3353, -792.432, 2664.54, 2.0
238.879, -774.234, 2543.33, 2.0
-119.726, -538.499, 2901.36, 2.0
115.563, -538.783, 2936.76, 2.0
354.765, -535.497, 2921.57, 2.0
384.423, -793.795, 2888.68, 2.0
731.923, -740.475, 2733.72, 2.0
988.661, -772.025, 2762.02, 2.0
385.805, -632.54, 2957.04, 2.0
794.34, -697.521, 2824.99, 2.0
1139.3, -759.192, 2868.78, 2.0
-175.286, -694.895, 2861.83, 2.0
