-9.28661, -798.497, 2309.14, 2.0
-322.166, -793.175, 2319.05, 2.0
-624.317, -781.919, 2315.48, 2.0
-759.317, -849.828, 2308.12, 2.0
-633.429, -949.245, 2291.45, 1.0
-391.423, -878.473, 2164.0, 2.0
-223.541, -903.303, 1920.79, 2.0
-532.94, -623.778, 2355.89, 2.0
-273.01, -544.055, 2359.97, 2.0
-35.0364, -545.801, 2260.78, 2.0
-20.2197, -860.281, 2240.31, 2.0
341.161, -864.795, 2071.89, 1.0
782.644, -948.088, 2016.86, 1.0
1.78682, -711.208, 2302.35, 2.0
350.096, -795.785, 2056.13, 2.0
741.846, -794.431, 2212.5, 2.0
-550.342, -785.691, 2318.68, 2.0
