72.3812, -470.202, 2427.44, 2.0
27.3409, -303.491, 2196.09, 2.0
-16.9119, -137.936, 1950.92, 2.0
-72.7505, -216.667, 1859.8, 2.0
-141.024, -184.373, 1980.37, 1.0
-214.197, -454.285, 2140.69, 2.0
-193.408, -742.378, 2155.05, 2.0
152.492, -287.671, 1890.88, 2.0
181.143, -563.224, 1909.29, 2.0
126.801, -867.584, 1911.16, 2.0
-0.551728, -450.705, 2402.53, 2.0
-96.8716, -898.729, 2237.59, 2.0
-36.7757, -1219.04, 2250.8, 2.0
142.998, -474.503, 2373.87, 2.0
64.5405, -973.47, 2198.2, 2.0
17.8176, -1289.06, 2225.12, 1.0
-6.64319, -180.828, 2018.67, 2.0
